Marca temporal,¿En qué localidad se encuentra?,Nombre del local,Dirección del local,Teléfono,¿Tiene delivery?,Horario de atención,¿A qué hora abre tu negocio?,¿A qué hora cierra tu negocio?,Hora inicio turno mañana,Hora cierre turno mañana,Hora inicio turno tarde,Hora cierre turno tarde,¿Qué días abre tu negocio?,Foto del local,Nombre,Apellido
4/11/2019 18:38:18,Presidencia Roque Sáenz Peña,asdasd,sdsd,24242442,No,Mañana y Tarde,,,1:00:00,1:00:00,1:01:00,1:01:00,Miércoles,,Juancito,Martínezzz
4/11/2019 18:40:34,Quitilipi,Kiosco Mafalda,San Martín nº500,3644569832,No,24hs,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",https://drive.google.com/open?id=14LewDb0EaIHbZU0PjXZe765RbWtah9oS,Kiosco Mafalda,Kiosco Mafalda
4/11/2019 18:48:34,Quitilipi,Panaderia Emanuel,San Martin,,No,Mañana y Tarde,,,7:00:00,12:00:00,17:00:00,20:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",https://drive.google.com/open?id=1dELOp3bovTAKQvjuG64g-go2C8VTytEm,Emanuel,Gonzales
4/11/2019 18:58:23,Quitilipi,Super-Kit,San Martin nº300,,Sí,Mañana y Tarde,,,8:00:00,12:30:00,16:00:00,20:30:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1cNiHqO2OKSFtANkJ_LzfJYS2UhUlSkK1,Jorge,Mañanes
4/11/2019 19:10:09,Quitilipi,Pintureria San Jorge,Entre Ríos nº500 ,,No,Mañana y Tarde,,,8:00:00,12:00:00,16:00:00,20:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=15_-MAq5cLUME6Bkl4Kd3RX8zhL3ZoZ50,Mariana,Goy
4/11/2019 19:21:37,Quitilipi,Buloneria San Martín,San Martín nº1099,(03732) 48-0482,No,Mañana y Tarde,,,8:00:00,12:00:00,16:00:00,20:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1U-kicWjhEJGtTL0R9CMoiHbboKOLnMYG,Marcelo,salas
4/11/2019 19:39:08,Quitilipi,Corralon El Tano,Mendoza 789,0364 432-6888,Sí,Mañana y Tarde,,,8:00:00,12:30:00,16:00:00,20:30:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1cB5oL2XHSXiBqNXoyLTvYzGVG7e-flck,Alan,olivieri
22/10/2019 10:11:33,Quitilipi,BurguerTown,Sarmiento 120,3624780965,Sí,Mañana y Tarde,,,10:00:00,14:00:00,20:00:00,3:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",,Hector ,Saucedo 
22/10/2019 16:58:45,Presidencia Roque Sáenz Peña,AlanDesigns,Calle Falsa 123,0303456,Sí,Mañana y Tarde,,,9:00:00,13:00:00,17:00:00,21:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",https://drive.google.com/open?id=1BtoUzoTZNAbRCX0gzPXVT3OAQ5Nl0_Xu,Alan,Panzich
22/10/2019 19:05:07,Machagai,HDP,Uruguay 7,,No,Horario Corrido,8:30:00,1:00:00,8:30:00,12:30:00,12:30:00,1:00:00,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",,Ivana Leonor,Parra
